Id,Channel,XY,Z,Time,Tags,Shape,Name,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy3,cy7,cy5,a594
657732b0160d151ba2d3e20f,0,14,0,0,cell,polygon,,660.8221374047322,840.2935121998283,950.1207890344355,23799.337985283943,6,203,23,1
657732ba160d151ba2d3e21c,0,15,0,0,cell,polygon,,1067.6195799924901,732.4077800122227,511.86304488612745,25966.996606315228,2,121,68,12
657732c1160d151ba2d3e21f,0,15,0,0,cell,polygon,,1126.179349481239,468.07539392075944,398.91496739081447,25628.130578286415,6,162,51,8
657732c7160d151ba2d3e222,0,15,0,0,cell,polygon,,947.9335308241475,407.6852690429674,459.0559786277299,31462.14929,5,170,68,6
657732cb160d151ba2d3e225,0,15,0,0,cell,polygon,,688.7453582977531,295.5679817189374,476.22916922599217,19381.691525444377,4,190,43,4
657732d2160d151ba2d3e23c,0,16,0,0,cell,polygon,,562.6458407856676,603.9761542004566,947.2741437401869,9319.202899,0,94,8,3
657732d8160d151ba2d3e23f,0,16,0,0,cell,polygon,,481.9077754263394,922.3620609124704,762.0200373648546,13123.122462459662,3,145,11,4
657732dc160d151ba2d3e242,0,16,0,0,cell,polygon,,545.6950586869194,831.5100909871546,936.3440995212629,11524.800062168348,2,106,18,1
657732e1160d151ba2d3e245,0,16,0,0,cell,polygon,,577.8921329765219,827.2440702355545,724.7514179783384,7408.339173,1,75,3,0
657732f3160d151ba2d3e25c,0,18,0,0,cell,polygon,,670.2789470144918,381.8085945543421,739.4810295593719,20381.772148911015,4,117,14,4
657732f8160d151ba2d3e25f,0,18,0,0,cell,polygon,,804.3479981863441,103.60978504921319,933.7590983665481,34147.78514893335,5,151,16,2
65773303160d151ba2d3e262,0,19,0,0,cell,polygon,,800.6009110291789,492.62981268766595,877.7509581903563,31176.44883461816,1,60,14,2
6577330b160d151ba2d3e265,0,19,0,0,cell,polygon,,1501.7854837148686,390.72597863720097,438.28938792088246,38761.31836831132,3,254,43,13
65773481160d151ba2d3e27c,0,21,0,0,cell,polygon,,811.6547812862382,209.9971889057064,454.97728936197814,9223.453244,4,103,19,6
65773488160d151ba2d3e27f,0,21,0,0,cell,polygon,,734.5473495057422,178.02411041685065,631.4585437837234,16125.945186081404,0,229,11,6
6577349b160d151ba2d3e296,0,23,0,0,cell,polygon,,682.6648194050457,136.8538116,548.8630262180516,13091.636053153108,2,127,13,5
657734d3160d151ba2d3e2c3,0,26,0,0,cell,polygon,,631.2277168937285,567.1551757785695,962.9316601631278,19636.310112706164,8,157,37,9
657738bd160d151ba2d3e2e4,0,29,0,0,cell,polygon,,755.1195274247906,559.6148574560668,259.7852569139978,15186.883349308104,0,102,5,1
657738c2160d151ba2d3e2e7,0,29,0,0,cell,polygon,,522.7068194430211,895.2253828286413,430.2705429908138,11916.926525310593,1,70,14,3
657738d1160d151ba2d3e2f4,0,30,0,0,cell,polygon,,849.4751992886623,269.9679477252621,372.7931054642092,19812.09134539658,3,135,20,1
657738d7160d151ba2d3e2f7,0,30,0,0,cell,polygon,,727.6345010088143,458.18924309246256,272.5170503884756,13732.119666707604,1,103,7,0
657738dd160d151ba2d3e2fa,0,30,0,0,cell,polygon,,740.2980223,699.2069485311257,520.0011339411934,15579.47233893999,9,242,40,9
657738e6160d151ba2d3e2fd,0,30,0,0,cell,polygon,,852.8953579877051,876.9612964989856,615.8827774,21112.428601627154,19,151,30,14
657738ee160d151ba2d3e30a,0,31,0,0,cell,polygon,,703.5965416521876,680.8916247092895,292.7555026,13273.391264602928,1,147,23,3
657738f4160d151ba2d3e30d,0,31,0,0,cell,polygon,,563.9664082654901,592.8896598798744,232.23180486148908,17479.91857623081,1,67,29,15
657738fe160d151ba2d3e324,0,33,0,0,cell,polygon,,724.9238044849552,753.3750641519797,483.22913113613504,21345.73689608384,12,67,14,63
65773927160d151ba2d3e327,0,33,0,0,cell,polygon,,783.3250532592244,977.4645928,706.5853858403749,19373.993585714597,48,144,63,43
65773935160d151ba2d3e32a,0,33,0,0,cell,polygon,,750.6366488271447,881.2917284565627,566.8870831624191,21162.791640482574,0,65,33,64
65773977160d151ba2d3e337,0,34,0,0,cell,polygon,,542.0647703231066,582.4094198,613.4075011340824,12565.338607262223,2,107,18,11
65773981160d151ba2d3e33a,0,34,0,0,cell,polygon,,605.1485134552104,507.3836078621404,615.6513439787446,11962.680304490435,0,183,41,8
65773986160d151ba2d3e33d,0,34,0,0,cell,polygon,,561.0491458517292,673.5690539377755,592.3272404867346,13069.39064,7,121,24,20
