"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy7,cy5,a594,cy3
"65e7fef551aff2647611b577",0,1,1,1,"cell","polygon","",1107.3652389490069,59.048393841475004,442.7781241420093,39457.5,319,26,128,13
"65e7fef551aff2647611b578",0,1,1,1,"cell","polygon","",1074.5216693269501,300.4586419619784,516.2449881587378,23153.5,184,18,49,4
"65e7fef551aff2647611b579",0,1,1,1,"cell","polygon","",801.2228278344799,294.3895599227761,672.3771925482237,20201,74,17,42,2
"65e7fef551aff2647611b57a",0,1,1,1,"cell","polygon","",566.094866838418,257.73312851733886,67.12414855736257,17739.5,85,5,30,14
"65e7fef551aff2647611b57b",0,1,1,1,"cell","polygon","",435.2335327505721,239.54691621258786,379.32763168285555,10552.5,18,10,1,1
"65e7fef551aff2647611b57c",0,1,1,1,"cell","polygon","",448.94039040124653,384.4949905099723,102.80162730638787,10713,88,1,67,2
"65e7fef551aff2647611b57d",0,1,1,1,"cell","polygon","",604.919476651191,421.1671741681733,880.9328194880578,10509,41,7,13,2
"65e7fef551aff2647611b57e",0,1,1,1,"cell","polygon","",970.9425311820897,562.7894129572119,452.9216755089717,30912,301,22,78,65
"65e7fef551aff2647611b57f",0,1,1,1,"cell","polygon","",884.2524245216061,484.9558551343655,739.4509432283324,18730,135,8,4,6
"65e7fef551aff2647611b580",0,1,1,1,"cell","polygon","",293.9095465096354,448.95107173769156,21.552263123058907,3273.5,28,6,20,4
"65e7fef551aff2647611b581",0,1,1,1,"cell","polygon","",926.3367697021257,567.8172504708098,222.58988700564973,26550,92,26,21,19
"65e7fef551aff2647611b582",0,1,1,1,"cell","polygon","",634.2857032089495,532.604482721063,102.14457203317306,21423,120,21,26,9
"65e7fef551aff2647611b583",0,1,1,1,"cell","polygon","",535.104410195279,509.76510220395113,361.27362110311753,14595,70,13,39,5
"65e7fef551aff2647611b584",0,1,1,1,"cell","polygon","",788.3665433485437,729.9253379734976,915.9226609556954,18677.5,16,6,6,1
"65e7fef551aff2647611b585",0,1,1,1,"cell","polygon","",876.6897516304123,724.1298260470696,761.1300236406619,23617.5,53,9,20,3
"65e7fef551aff2647611b586",0,1,1,1,"cell","polygon","",313.28966605481116,700.7699918042384,987.6432502048941,5694,2,0,8,0
"65e7fef551aff2647611b587",0,1,1,1,"cell","polygon","",1171.6235342736472,751.7095325144909,276.4971975041924,33095.5,90,19,122,23
"65e7fef551aff2647611b588",0,1,1,1,"cell","polygon","",499.7643273742939,836.919440353461,33.281197839960726,10185,7,21,36,1
"65e7fef551aff2647611b589",0,1,1,1,"cell","polygon","",783.7122260255401,903.8331396849986,477.86149533399725,18074,43,23,43,8
"65e7fef551aff2647611b58a",0,1,1,1,"cell","polygon","",715.7272385781398,917.609630127774,867.5033221250841,18587.5,5,4,9,0
"65e7fef551aff2647611b58b",0,1,1,1,"cell","polygon","",413.54591054378903,917.2642333658254,214.15726199501788,9233,12,26,13,1
"65e7fef551aff2647611b58c",0,1,1,1,"cell","polygon","",328.3050733465681,975.6818132405697,655.1514295032068,4599.5,0,1,1,0
"65e7fef551aff2647611b58d",0,1,1,1,"cell","polygon","",452.02636480885894,999.9082735117105,116.67275759553331,6895.5,4,9,14,5
"65e7fef551aff2647611b58e",0,1,1,1,"cell","polygon","",187.83774914257734,1002.0231330538735,777.750349324639,2147,0,0,3,0
"65e7ff3451aff2647611b5b0",0,3,1,1,"cell","polygon","",400.94080284060976,27.27823324224044,263.0240618542958,7501.5,33,8,14,1
"65e7ff3451aff2647611b5b1",0,3,1,1,"cell","polygon","",176.20182238087042,17.55123347646712,354.2883724846342,1979.5,26,3,8,0
"65e7ff3451aff2647611b5b2",0,3,1,1,"cell","polygon","",474.7576324596626,32.17561867871745,559.8177964278028,7745,90,3,11,5
"65e7ff3451aff2647611b5b3",0,3,1,1,"cell","polygon","",323.5774361709083,21.309030143742497,935.5068626496642,5136.5,15,2,4,1
"65e7ff3451aff2647611b5b4",0,3,1,1,"cell","polygon","",874.0894105922077,353.6317840899152,306.94012944983814,30488,303,25,91,21
