Id,Channel,XY,Z,Time,Tags,Shape,Name,cy7,a594,cy5,cy3,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area
65b9d6c63f73fc2469fbf7d6,0,3,2,0,cell,polygon,,490,56,15,133,973.1547854978344,638.3424411480556,756.1856649,58337.85075256946
65b9d6c93f73fc2469fbf809,0,3,2,0,cell,polygon,,681,60,4,274,950.0767208680729,224.0417226928399,609.6252547,66048.18793306564
65b9de423f73fc2469fcb20b,0,35,2,0,cell,polygon,,452,69,5,370,1152.115909570279,404.18389088377796,236.8198116422153,51823.86030424221
65b9de493f73fc2469fcc6c7,0,34,2,0,cell,polygon,,222,32,2,123,749.0274731366542,510.98563997535575,183.3653388244014,20855.60258372821
65b9de4d3f73fc2469fcce06,0,34,2,0,cell,polygon,,147,36,0,64,918.0752801778129,724.1477831334508,324.86793803211106,24899.00833
65b9de503f73fc2469fcce09,0,34,2,0,cell,polygon,,67,34,1,37,502.23014052583693,449.48278005780963,72.45172396876264,16394.538651294723
65b9de573f73fc2469fccf16,0,33,2,0,cell,polygon,,47,18,0,10,731.7167137,794.4450914966189,667.2453754626499,11654.812103042685
65b9de5b3f73fc2469fcdfa6,0,33,2,0,cell,polygon,,32,34,0,1,698.8039851178596,556.693451,640.3011755283296,18954.20585972928
65b9de613f73fc2469fceee0,0,32,2,0,cell,polygon,,374,49,1,107,947.0654059183903,554.2253469000742,668.3719475101394,32988.05807806149
65b9de653f73fc2469fceee3,0,32,2,0,cell,polygon,,278,44,4,81,1046.4214152285485,300.12695094651707,393.5786246560083,27590.956346950694
65b9de693f73fc2469fceee6,0,32,2,0,cell,polygon,,304,50,7,42,931.7152431423307,670.3414863,572.0210060958025,33899.25125797904
65b9de6c3f73fc2469fcfd1f,0,32,2,0,cell,polygon,,179,64,0,58,717.7067612140663,446.18979313638937,426.6520656005819,18575.045641900673
65b9de713f73fc2469fd0f9e,0,32,2,0,cell,polygon,,292,21,2,34,1056.5050910230868,729.9627731867517,108.64496746936179,37246.3362
65b9de763f73fc2469fd0fa1,0,31,2,0,cell,polygon,,248,32,2,27,911.5003611,361.5809260048306,452.8891938325766,40009.23686971802
65b9de7a3f73fc2469fd171c,0,31,2,0,cell,polygon,,326,58,0,358,1100.4732418116048,616.7200394,303.59248883099497,62887.101890330276
65b9de7f3f73fc2469fd1e89,0,31,2,0,cell,polygon,,233,14,1,36,792.3989869571735,938.4175326154476,430.4483377445717,27270.662207805068
65b9de833f73fc2469fd2f26,0,31,2,0,cell,polygon,,108,48,1,51,1010.5386960837664,656.7761116851082,836.8906014402174,24013.778896338536
65b9de853f73fc2469fd2f29,0,31,2,0,cell,polygon,,106,23,0,23,589.2508112756392,433.9289155076923,650.5997479484428,19576.888106482078
65b9de893f73fc2469fd308c,0,31,2,0,cell,polygon,,143,20,3,57,816.0323394979043,229.29946960759617,656.4829124207056,35964.93582134409
65b9de8f3f73fc2469fd36aa,0,30,2,0,cell,polygon,,414,65,5,65,1076.1230765864034,803.6071860027853,338.3229533108595,67495.44293216831
65b9de933f73fc2469fd3dce,0,30,2,0,cell,polygon,,464,25,5,115,979.5190101598839,601.3323421312562,443.3839107756948,60415.84571
65b9de973f73fc2469fd4684,0,30,2,0,cell,polygon,,192,61,0,134,935.0917378100539,524.7620547978006,882.3108640330908,46908.43082151822
65b9de9c3f73fc2469fd58bd,0,30,2,0,cell,polygon,,170,49,3,22,910.0080735840091,155.84738210166617,352.6182014506375,24221.488862185608
65b9dea33f73fc2469fd5c5c,0,29,2,0,cell,polygon,,442,69,0,217,904.5397217,470.4500237897037,547.9966132580357,32205.34067
65b9dea73f73fc2469fd719c,0,29,2,0,cell,polygon,,159,26,0,81,836.2788734810132,483.107408,783.8462629107373,18349.877295303497
65b9dead3f73fc2469fd81db,0,28,2,0,cell,polygon,,402,35,0,47,1190.8724286145753,499.9810951,660.3785662762166,43023.04580304883
65b9deb13f73fc2469fd81de,0,28,2,0,cell,polygon,,374,36,3,159,1190.4025062957485,700.7210763419993,487.32811425288435,35722.75674478532
65b9dfb53f73fc2469ffadfb,0,27,2,0,cell,polygon,,310,22,0,6,1213.3222378737723,811.6046533621079,876.6930598567363,88605.31116374375
65b9dfb83f73fc2469ffadfe,0,27,2,0,cell,polygon,,92,3,0,2,929.8421332,926.9101998707215,454.7101892393135,55047.16980657394
65b9dfd43f73fc2469fff4eb,0,26,2,0,cell,polygon,,646,38,6,23,1038.651606477372,369.1862591864692,784.0134152936598,75892.47642
65b9dfd83f73fc2469fffa7e,0,26,2,0,cell,polygon,,669,48,6,65,1113.0913695787008,872.7455614853396,508.08313691639194,74986.20740092303
