"Id",Channel,XY,Z,Time,"Tags","Shape","Name",a594 children,cy7 children,cy5 children,cy3 children
"6793d6f23204237ba05be64d",0,17,1,1,"DAPI_DMout blob","polygon","",7,3,21,13
"6793d6f23204237ba05be64e",0,17,1,1,"DAPI_DMout blob","polygon","",0,0,4,1
"6793d6f23204237ba05be64f",0,17,1,1,"DAPI_DMout blob","polygon","",6,16,6,1
"6793d6f23204237ba05be650",0,17,1,1,"DAPI_DMout blob","polygon","",30,3,7,1
"6793d6f23204237ba05be651",0,17,1,1,"DAPI_DMout blob","polygon","",26,3,0,0
"6793d6f23204237ba05be652",0,17,1,1,"DAPI_DMout blob","polygon","",10,6,1,0
"6793d6f23204237ba05be653",0,17,1,1,"DAPI_DMout blob","polygon","",2,20,14,3
"6793d6f23204237ba05be654",0,17,1,1,"DAPI_DMout blob","polygon","",19,7,6,1
"6793d6f23204237ba05be655",0,17,1,1,"DAPI_DMout blob","polygon","",0,2,8,2
"6793d6f23204237ba05be656",0,17,1,1,"DAPI_DMout blob","polygon","",9,5,7,4
"6793d6f23204237ba05be657",0,17,1,1,"DAPI_DMout blob","polygon","",11,2,2,2
"6793d6f23204237ba05be658",0,17,1,1,"DAPI_DMout blob","polygon","",0,6,7,0
"6793d6f23204237ba05be659",0,17,1,1,"DAPI_DMout blob","polygon","",44,10,9,6
"6793d6f23204237ba05be65a",0,17,1,1,"DAPI_DMout blob","polygon","",0,9,12,0
"6793d6f23204237ba05be65b",0,17,1,1,"DAPI_DMout blob","polygon","",0,6,6,1
"6793d6f23204237ba05be65c",0,17,1,1,"DAPI_DMout blob","polygon","",12,1,4,0
"6793d6f23204237ba05be65d",0,17,1,1,"DAPI_DMout blob","polygon","",7,7,12,3
"6793d6f23204237ba05be65e",0,17,1,1,"DAPI_DMout blob","polygon","",6,0,2,2
"6793d6f23204237ba05be65f",0,17,1,1,"DAPI_DMout blob","polygon","",0,3,2,0
"6793d6f23204237ba05be660",0,17,1,1,"DAPI_DMout blob","polygon","",0,0,1,0
"6793d6f23204237ba05be661",0,17,1,1,"DAPI_DMout blob","polygon","",0,1,1,1
"6793d6f23204237ba05be662",0,17,1,1,"DAPI_DMout blob","polygon","",0,2,3,0
"6793d6f23204237ba05be663",0,17,1,1,"DAPI_DMout blob","polygon","",0,6,4,0
"6793d6f23204237ba05be664",0,17,1,1,"DAPI_DMout blob","polygon","",29,1,3,3
"6793d6f23204237ba05be665",0,17,1,1,"DAPI_DMout blob","polygon","",0,5,8,0
"6793d6f23204237ba05be666",0,17,1,1,"DAPI_DMout blob","polygon","",0,10,6,1
"6793d6f23204237ba05be667",0,17,1,1,"DAPI_DMout blob","polygon","",0,7,2,1
"6793d6f23204237ba05be668",0,17,1,1,"DAPI_DMout blob","polygon","",0,2,0,0
"6793d6f23204237ba05be669",0,17,1,1,"DAPI_DMout blob","polygon","",4,1,4,1
"6793d6f23204237ba05be66a",0,17,1,1,"DAPI_DMout blob","polygon","",0,3,2,2
"6793d6f23204237ba05be66b",0,17,1,1,"DAPI_DMout blob","polygon","",0,4,1,0
"6793d6f23204237ba05be66c",0,17,1,1,"DAPI_DMout blob","polygon","",0,2,0,0
"6793d6f33204237ba05be6d6",0,18,1,1,"DAPI_DMout blob","polygon","",2,6,4,0
"6793d6f33204237ba05be6d7",0,18,1,1,"DAPI_DMout blob","polygon","",2,1,10,0
"6793d6f33204237ba05be6d8",0,18,1,1,"DAPI_DMout blob","polygon","",21,3,5,3
"6793d6f33204237ba05be6d9",0,18,1,1,"DAPI_DMout blob","polygon","",11,12,13,7
"6793d6f33204237ba05be6da",0,18,1,1,"DAPI_DMout blob","polygon","",5,5,4,0
"6793d6f33204237ba05be6db",0,18,1,1,"DAPI_DMout blob","polygon","",8,8,3,0
"6793d6f33204237ba05be6dc",0,18,1,1,"DAPI_DMout blob","polygon","",4,2,5,0
"6793d6f33204237ba05be6dd",0,18,1,1,"DAPI_DMout blob","polygon","",11,11,5,0
"6793d6f33204237ba05be6de",0,18,1,1,"DAPI_DMout blob","polygon","",17,6,16,1
"6793d6f33204237ba05be6df",0,18,1,1,"DAPI_DMout blob","polygon","",53,7,8,1
"6793d6f33204237ba05be6e0",0,18,1,1,"DAPI_DMout blob","polygon","",89,10,11,0
"6793d6f33204237ba05be6e1",0,18,1,1,"DAPI_DMout blob","polygon","",2,6,8,2
