"Id",Channel,XY,Z,Time,"Tags","Shape","Name",cy7 children,a594 children,cy5 children,cy3 children
"6792830a3204237ba0588279",0,33,1,1,"DAPI_DMout blob","polygon","",6,74,228,1
"6792830a3204237ba058827a",0,33,1,1,"DAPI_DMout blob","polygon","",4,4,14,0
"6792830b3204237ba058827f",0,34,1,1,"DAPI_DMout blob","polygon","",15,14,34,1
"6792830b3204237ba0588280",0,34,1,1,"DAPI_DMout blob","polygon","",14,44,100,1
"6792830d3204237ba0588288",0,40,1,1,"DAPI_DMout blob","polygon","",1,1,24,1
"6792830e3204237ba058828c",0,42,1,1,"DAPI_DMout blob","polygon","",9,37,122,2
"6792830e3204237ba058828d",0,42,1,1,"DAPI_DMout blob","polygon","",9,33,120,0
"6792830f3204237ba0588292",0,43,1,1,"DAPI_DMout blob","polygon","",7,5,42,1
"6792830f3204237ba0588293",0,43,1,1,"DAPI_DMout blob","polygon","",8,6,28,1
"6792830f3204237ba0588294",0,43,1,1,"DAPI_DMout blob","polygon","",1,13,22,2
"679283103204237ba058829a",0,44,1,1,"DAPI_DMout blob","polygon","",6,20,42,0
"679283103204237ba058829b",0,44,1,1,"DAPI_DMout blob","polygon","",2,44,58,1
"679283103204237ba058829c",0,44,1,1,"DAPI_DMout blob","polygon","",1,20,32,0
"679283123204237ba05882a3",0,48,1,1,"DAPI_DMout blob","polygon","",8,27,60,0
"679283123204237ba05882a4",0,48,1,1,"DAPI_DMout blob","polygon","",6,52,54,0
"679283143204237ba05882af",0,54,1,1,"DAPI_DMout blob","polygon","",7,33,64,0
"679283143204237ba05882b0",0,54,1,1,"DAPI_DMout blob","polygon","",7,31,66,0
"679283143204237ba05882b1",0,54,1,1,"DAPI_DMout blob","polygon","",6,0,58,0
"679283143204237ba05882b2",0,54,1,1,"DAPI_DMout blob","polygon","",11,76,60,1
"679283153204237ba05882b9",0,55,1,1,"DAPI_DMout blob","polygon","",1,8,20,1
"679283153204237ba05882bf",0,56,1,1,"DAPI_DMout blob","polygon","",11,51,36,1
"679283153204237ba05882c0",0,56,1,1,"DAPI_DMout blob","polygon","",7,19,30,1
"679283153204237ba05882c1",0,56,1,1,"DAPI_DMout blob","polygon","",12,26,38,0
"679283163204237ba05882c7",0,57,1,1,"DAPI_DMout blob","polygon","",6,42,122,0
"679283163204237ba05882c8",0,57,1,1,"DAPI_DMout blob","polygon","",3,44,70,1
"679283173204237ba05882cd",0,58,1,1,"DAPI_DMout blob","polygon","",6,47,62,1
"679283173204237ba05882ce",0,58,1,1,"DAPI_DMout blob","polygon","",18,56,36,0
"679283173204237ba05882cf",0,58,1,1,"DAPI_DMout blob","polygon","",10,11,48,0
"679283183204237ba05882db",0,61,1,1,"DAPI_DMout blob","polygon","",15,4,120,0
"6792831a3204237ba05882e8",0,65,1,1,"DAPI_DMout blob","polygon","",3,5,10,0
"6792831a3204237ba05882e9",0,65,1,1,"DAPI_DMout blob","polygon","",6,0,46,0
"6792831a3204237ba05882ea",0,65,1,1,"DAPI_DMout blob","polygon","",4,5,10,0
"6792831a3204237ba05882eb",0,65,1,1,"DAPI_DMout blob","polygon","",2,35,16,0
"6792831b3204237ba05882f6",0,67,1,1,"DAPI_DMout blob","polygon","",13,19,54,1
"6792831b3204237ba05882f7",0,67,1,1,"DAPI_DMout blob","polygon","",12,23,48,0
"6792831c3204237ba05882fc",0,68,1,1,"DAPI_DMout blob","polygon","",11,25,124,2
"6792831c3204237ba05882fd",0,68,1,1,"DAPI_DMout blob","polygon","",18,84,84,1
"6792831c3204237ba05882fe",0,68,1,1,"DAPI_DMout blob","polygon","",2,1,18,0
"6792831c3204237ba0588304",0,69,1,1,"DAPI_DMout blob","polygon","",11,10,42,0
"6792831c3204237ba0588305",0,69,1,1,"DAPI_DMout blob","polygon","",2,33,72,1
