"Id",Channel,XY,Z,Time,"Tags","Shape","Name",A594 / TotalIntensity,A594 / MinIntensity,A594 / MedianIntensity,A594 / MeanIntensity,A594 / MaxIntensity,A594 / 75thPercentileIntensity,A594 / 25thPercentileIntensity,YFP / TotalIntensity,YFP / MinIntensity,YFP / MedianIntensity,YFP / MeanIntensity,YFP / MaxIntensity,YFP / 75thPercentileIntensity,YFP / 25thPercentileIntensity,YFP blob Blob Blob metrics / Perimeter,YFP blob Blob Blob metrics / Centroid / y,YFP blob Blob Blob metrics / Centroid / x,YFP blob Blob Blob metrics / Area,red 90 / 90.0thPercentileIntensity,green 90 / 90.0thPercentileIntensity
"65de6e893f73fc2469eac42a",0,1,1,1,"YFP blob","polygon","",836877420,1151,1554,1725.9795285756418,15771,1674,1481,2036195490,3066,3939,4199.458185785497,17689,4199,3783,2976.1071297691415,12299.209688315472,9130.656378840644,484812.185563111,2075,4922
"65de6e893f73fc2469eac42c",0,1,1,1,"YFP blob","polygon","",3351696147,998,1629,1891.138067851293,33428,1977,1458,8679471996,2970,4332,4897.245806478187,65535,5321,3794,5124.459215423409,10964.915613474072,11354.207147881787,1772461.0464083864,2649,6845
"65de6e893f73fc2469eac42d",0,1,1,1,"YFP blob","polygon","",2330228009,1275,2497,3507.5201233683347,45164,4203,1781,3121487160,3223,4289,4698.5440850633395,65535,5043,3895,3140.406838785198,7382.44471793459,8363.11781688963,664502.4625594061,6896,6055
"65de6f043f73fc2469eac459",0,1,1,1,"YFP blob","polygon","",5270101593,1247,2945,3720.4568894191398,40871,4523,2020,11380627862,3716,6893,8034.216150848559,57162,9772,5159,4576.2723196701945,2090.5621673989785,7399.869505684771,1416615.1527795468,6842,12978
"65de6f1b3f73fc2469eac45d",0,1,1,1,"YFP blob","polygon","",1268883396,1323,2697,3316.969323710014,43659,3788,2099,3104202345,3758,6899,8114.64945117281,65535,9311,5461,2535.6693993436343,3049.180082487696,5808.997434609543,382523.38161158055,5487,12564
"65de6f3e3f73fc2469eac460",0,1,1,1,"YFP blob","polygon","",3551505574,1177,2519,3172.7037790089994,45426,3646,1849,6788542413,3228,5426,6064.479899838662,35563,6906,4410,3987.7185120971353,5951.16045123033,10039.769114293276,1119425.0884460218,5521,9019
"65de6f4b3f73fc2469eac463",0,1,1,1,"YFP blob","polygon","",4940198271,1171,2159,2936.6576892165976,57467,3230,1723,9779419559,3133,4928,5813.290493338691,65535,6287,4192,4843.9725251366035,4725.280257118175,9450.457241177292,1682191.542775563,5204,8704
"65de6f553f73fc2469eac466",0,1,1,1,"YFP blob","polygon","",4455325568,1186,2099,2521.9433042911223,20753,2866,1715,10855847981,3406,5383,6144.968018661582,50912,6994,4447,5285.895809842721,5601.888744308703,12412.109602207092,1766654.9432579412,4061,9279
"65de6f663f73fc2469eac469",0,1,1,1,"YFP blob","polygon","",6057412599,1733,5800,6693.93188832935,63255,8722,3575,7250885841,3974,7148,8012.816554335178,65535,9242,5643,3646.256411972862,4419.627503648215,13114.98586797554,904979.0510196792,11682,11641
"65de6f693f73fc2469eac46c",0,1,1,1,"YFP blob","polygon","",3533891808,0,3569,4145.5805022711065,29845,5059,2621,7409522704,0,7794,8692.052423139006,44828,10286,6193,3803.7008970361467,3424.5342841528113,13550.571017234939,852639.0324977979,6840,13266
"65de6f7f3f73fc2469eac46f",0,1,1,1,"YFP blob","polygon","",3482658361,1341,2989,3733.905386657403,56804,4346,2184,7926956242,3637,7227,8498.825191484617,65535,10097,5480,3574.076527186117,9280.574950980585,8247.124131162389,932675.2058230857,6338.900000000023,13448
"65de6f823f73fc2469eac472",0,1,1,1,"YFP blob","polygon","",5696208839,1373,3963,5408.344305020954,65535,6754,2611,9674705085,3446,7603,9185.782619304879,65535,10745,5678,3951.9138982278514,9621.550727377957,9049.331269404383,1053254.7749295945,10478,14901
"65de6f853f73fc2469eac475",0,1,1,1,"YFP blob","polygon","",5403929100,1188,2625,3094.9292664222685,59846,3612,2029,10954333776,3196,5596,6273.74778057328,43231,7149,4649,5035.563870959517,8200.616209535046,9359.030847373688,1746009.3344162705,4982,9290
"65de6f893f73fc2469eac478",0,1,1,1,"YFP blob","polygon","",3998402926,1250,2775,3690.98792380235,45789,4385,1921,6917194212,3469,5497,6385.369552695128,59458,7175,4578,4163.386550838556,7457.088859758351,14457.995520071392,1083383.1539812004,7052,9656
