Id,Channel,XY,Z,Time,Tags,Shape,Name,cell Blob Blob metrics / Perimeter,cell Blob Blob metrics / Centroid / y,cell Blob Blob metrics / Centroid / x,cell Blob Blob metrics / Area,cy3,cy7,cy5,a594
65762c9b75bbf88263eccb3f,0,50,0,0,cell,polygon,,743.9754521516799,488.0842798635228,289.9778665658121,24653.235701380865,1,61,6,1
65762ca775bbf88263eccb42,0,52,0,0,cell,polygon,,718.6989783999077,428.51459261149495,439.80521604429737,18619.294170122048,0,134,4,3
65762cb075bbf88263eccb45,0,53,0,0,cell,polygon,,1014.1662583436079,109.88028193943812,741.4072077531861,46246.10286941214,1,351,27,1
65762cb475bbf88263eccb48,0,53,0,0,cell,polygon,,664.7944428895561,158.66039002939064,402.2234940659014,14694.574249237554,7,95,7,6
65762cc675bbf88263eccb4b,0,54,0,0,cell,polygon,,759.6530267143531,517.7506531376499,585.1891057619836,27494.963577980896,2,141,16,2
65762cca75bbf88263eccb4e,0,54,0,0,cell,polygon,,618.9927330158257,779.1097738969806,589.0644250887541,13596.866006902626,6,106,6,27
65762cd375bbf88263eccb51,0,54,0,0,cell,polygon,,720.4341856509874,343.2689151720818,694.6079924564312,20808.403712770287,1,40,12,0
65762cdc75bbf88263eccb54,0,56,0,0,cell,polygon,,892.9701266212111,358.2264120657135,274.2953126820424,29753.749813439423,1,126,13,4
65762ce675bbf88263eccb57,0,59,0,0,cell,polygon,,1257.4639631808125,662.7202060074065,486.6094052254238,34365.32575353598,1,207,12,6
65762cec75bbf88263eccb5a,0,60,0,0,cell,polygon,,627.3535756589313,389.09184567978565,315.66928907099873,22594.46962717953,1,172,13,2
65762cf075bbf88263eccb5d,0,60,0,0,cell,polygon,,908.9545845025597,154.50796198025824,397.6648376863148,28623.00520813412,0,96,6,8
65762cf875bbf88263eccb60,0,61,0,0,cell,polygon,,1311.7155210346993,739.3982274678316,348.42052233273046,56972.70959533117,3,72,20,6
65762d0275bbf88263eccb63,0,62,0,0,cell,polygon,,771.7049146168338,781.6693742689134,633.5351800934079,29041.666026140916,7,239,12,20
65762d0675bbf88263eccb66,0,62,0,0,cell,polygon,,679.2706027,478.5130320080432,702.1012309,29561.538247066153,1,440,12,22
65762d0c75bbf88263eccb69,0,63,0,0,cell,polygon,,819.3724653,618.1389408532336,767.6134263657173,25306.15436590513,6,107,15,17
65762d0f75bbf88263eccb6c,0,63,0,0,cell,polygon,,800.1624342933173,749.7169135211913,899.5602287006142,29407.76899396752,5,109,13,39
65762d1b75bbf88263eccb6f,0,66,0,0,cell,polygon,,990.3955979956679,797.2723833686032,344.8648274135052,32588.570086872922,2,251,13,4
65762d1f75bbf88263eccb72,0,66,0,0,cell,polygon,,807.4074934143572,88.22185590739377,663.2681373,30357.113933508077,3,167,15,5
65762d2475bbf88263eccb75,0,67,0,0,cell,polygon,,867.1110066330818,785.9033883,374.22798969414407,20897.601892790375,5,167,12,3
65762d2d75bbf88263eccb78,0,68,0,0,cell,polygon,,1581.5193135558247,365.6257484788108,578.3258278435129,41022.753553218114,5,278,20,2
65762d3375bbf88263eccb7b,0,68,0,0,cell,polygon,,907.5042041671077,108.03195938490732,435.52912881248903,25839.24113201853,1,122,18,0
