"Id",Channel,XY,Z,Time,"Tags","Shape","Name",red intensity measurements / TotalIntensity,red intensity measurements / MinIntensity,red intensity measurements / MedianIntensity,red intensity measurements / MeanIntensity,red intensity measurements / MaxIntensity,red intensity measurements / 75thPercentileIntensity,red intensity measurements / 25thPercentileIntensity,green intensity measurements / TotalIntensity,green intensity measurements / MinIntensity,green intensity measurements / MedianIntensity,green intensity measurements / MeanIntensity,green intensity measurements / MaxIntensity,green intensity measurements / 75thPercentileIntensity,green intensity measurements / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,green blob Parent and child / parentId,green blob Parent and child / childId,green blob Parent and child / annotationId
"668ca5f18c33857f1c36ad22",0,1,1,29,"green blob","polygon","",7325870,9,43,54.258067383109044,546,71,23,22271071,89,147,164.94768143742732,1063,193,114,545360,9,19,33.95131669053104,293,47,11,2115781,89,109,131.71767415800286,544,154,93,43,79.4559811338253,71,35,23,147,206.71609321798115,193,133,114,19,-,18
"668ca6598c33857f1c36ad29",0,1,1,1,"green blob","polygon","",2671,8,15,15.994011976047904,25,19,13,20797,112,124,124.53293413173652,139,128,121,7185,7,8,9.037735849056604,19,10,8,89097,107,111,112.07169811320755,125,113,110,15,19.202380952380953,19,15,13,124,129.21428571428572,128,122.4,121,-,16,17
"668ca6908c33857f1c36ad2c",0,1,1,1,"green blob","polygon","",4128,9,22,21.38860103626943,32,26,17,24578,115,127,127.34715025906736,140,131,123,7821,6,8,8.728794642857142,19,9,8,101735,110,113,113.54352678571429,121,114,112,22,25.39622641509434,26,20,17,127,131.32075471698113,131,126,123,-,14,15
"668ca6c58c33857f1c36ad2f",0,1,1,1,"green blob","polygon","",4421,9,17.5,19.221739130434784,38,25,13,36577,119,154,159.0304347826087,223,179.75,135,9601,7,9,10.138331573389651,32,10,8,120051,116,120,126.76979936642027,206,125,118,17.5,24.90983606557377,25,15,13,154,179.86065573770492,179.75,145.60000000000002,135,-,12,13
"668ca7278c33857f1c36ad37",0,1,1,1,"green blob","polygon","",4730,6,31.5,31.95945945945946,66,45.25,17,19470,109,131.5,131.55405405405406,166,145.25,117.75,7212,6,8,8.425233644859814,32,9,7,94941,107,111,110.91238317757009,141,111,110,31.5,44.28048780487805,45.25,26,17,131.5,142.96341463414635,145.25,125,117.75,-,8,9
"668ca73b8c33857f1c36ad3c",0,1,1,29,"green blob","polygon","",6565587,10,41,50.35577218063566,1010,62,28,19827332,91,140,152.06875076696528,847,172,120,669156,10,41,50.14658273381295,304,64,26,2140437,90,145,160.40445143884892,685,187,117,41,67.49573508602563,62,36,28,140,177.51165743152995,172,131,120,9,-,8
"668ca7678c33857f1c36ad3f",0,1,1,1,"green blob","polygon","",8870,8,20,20.72429906542056,38,25,15,57096,117,132,133.4018691588785,155,138.25,127,9927,6,8.5,8.879248658318426,17,9,8,132238,114,118,118.28085867620752,129,119,117,20,26.036363636363635,25,18,15,132,140.07272727272726,138.25,130,127,-,10,11
"668ca7808c33857f1c36ad42",0,1,1,1,"green blob","polygon","",2183,8,17,17.747967479674795,28,22,14,15783,117,127,128.3170731707317,140,133.5,124,6156,6,8,8.330175913396483,18,9,8,86588,114,117,117.16914749661704,125,118,116,17,21.671641791044777,22,15,14,127,132.80597014925374,133.5,126,124,-,20,21
"668ca7be8c33857f1c36ad45",0,1,1,1,"green blob","polygon","",4690,14,44,43.83177570093458,80,60,26.5,13194,114,123,123.30841121495327,133,127,119.5,6629,6,8,8.620286085825748,35,9,8,88054,110,114,114.50455136540963,120,115,114,44,58.12068965517241,60,38,26.5,123,126.93103448275862,127,121,119.5,-,0,1
"668ca7f28c33857f1c36ad48",0,1,1,1,"green blob","polygon","",2249,7,14,14.699346405228757,24,18,12,19561,117,127,127.84967320261438,142,132,123,7359,6,8,8.391106043329533,15,9,8,103909,115,118,118.48232611174458,129,119,118,14,17.95,18,13,12,127,132.325,132,125,123,-,6,7
"668ca8168c33857f1c36ad4b",0,1,1,1,"green blob","polygon","",7322,13,63,60.51239669421488,88,76,49,17844,114,151,147.47107438016528,166,160,137,7603,6,8,10.205369127516779,70,9,8,83766,109,111,112.43758389261745,152,112,111,63,74.38235294117646,76,57,49,151,157.2058823529412,160,146,137,-,4,5
"668ca8368c33857f1c36ad4e",0,1,1,1,"green blob","polygon","",9173,8,23,26.665697674418606,59,36,16.75,47309,114,132,137.52616279069767,185,147,124,8792,6,8,8.88080808080808,18,9,8,112185,109,112,113.31818181818181,127,114,112,23,36.0828729281768,36,20,16.75,132,150.04419889502762,147,128,124,-,2,3
"668ca8ab8c33857f1c36ad75",0,1,1,29,"green blob","polygon","",1251830,6,9,9.854368549904356,115,10,9,13046500,88,98,102.70166019853109,365,103,95,139111,7,9,9.62173191312768,47,10,9,1439076,88,97,99.53492875916447,217,100,94,9,10.738813511365015,10,9,9,98,107.94803217504952,103,97,95,29,-,28
"668ca8c68c33857f1c36ad7a",0,1,1,29,"green blob","polygon","",14528583,9,57,68.03777799631914,738,85,39,43056126,93,185,201.6330940305427,1262,233,151,939398,9,42,50.5215660965903,628,68,24,3165760,93,156,170.25707217381952,739,197,125,57,93.06715296606257,85,50,39,185,245.47021346249088,233,171,151,27,-,26
"668ca8e68c33857f1c36ad7d",0,1,1,1,"green blob","polygon","",5501,11,21,23.01673640167364,40,28,18,35016,133,144,146.51046025104603,171,151,140,8654,7,9,9.499451152579583,18,10,8,118500,126,130,130.0768386388584,141,131,129,21,28.286821705426355,28,20,18,144,152.6201550387597,151,142,140,-,26,27
"668ca9128c33857f1c36ad80",0,1,1,1,"green blob","polygon","",2082,8,17,16.265625,24,20,13,18835,127,148,147.1484375,166,155,140,6528,7,8,8.544502617801047,15,9,8,97998,124,128,128.2696335078534,141,129,127,17,19.83076923076923,20,15,13,148,155.43076923076924,155,144,140,-,28,29
"668ca9408c33857f1c36ad83",0,1,1,1,"green blob","polygon","",5167,8,16,16.99671052631579,32,20,13,46639,137,151,153.41776315789474,184,159,145,9504,8,9,9.245136186770427,14,10,9,142078,135,138,138.20817120622567,146,139,137,16,21.54605263157895,20,14,13,151,162.18421052631578,159,148,145,-,30,31
"668ca97f8c33857f1c36ad86",0,1,1,1,"green blob","polygon","",3632,9,30.5,30.779661016949152,65,44.75,16,17162,117,141.5,145.4406779661017,187,161.75,126,6239,7,8,8.408355795148248,27,8,8,86375,114,116,116.40835579514825,136,117,116,30.5,41.50704225352113,44.75,21.60000000000001,16,141.5,158.25352112676057,161.75,135,126,-,24,25
"668cabdc8c33857f1c36aed9",0,1,1,1,"green blob","polygon","",6478,15,23.5,23.992592592592594,36,29,18.25,60308,214,223,223.36296296296297,233,226,221,17392,13,16,16.61127029608405,28,17,15,227754,204,217,217.53008595988538,232,223,212,23.5,27.056497175141242,29,21,18.25,223,225.5310734463277,226,222,221,-,70,71
