"Id",Channel,XY,Z,Time,"Tags","Shape","Name",line Blob Parent and child / parentId,line Blob Parent and child / childId,line Blob Parent and child / annotationId,red / TotalIntensity,red / MinIntensity,red / MedianIntensity,red / MeanIntensity,red / MaxIntensity,red / 75thPercentileIntensity,red / 25thPercentileIntensity,green / TotalIntensity,green / MinIntensity,green / MedianIntensity,green / MeanIntensity,green / MaxIntensity,green / 75thPercentileIntensity,green / 25thPercentileIntensity,green red Colony two color intensity / Channel 2 / MedianIntensity,green red Colony two color intensity / Channel 2 / MeanColonyIntensity,green red Colony two color intensity / Channel 2 / 75thPercentileIntensity,green red Colony two color intensity / Channel 2 / 40thPercentileIntensity,green red Colony two color intensity / Channel 2 / 25thPercentileIntensity,green red Colony two color intensity / Channel 1 / MedianIntensity,green red Colony two color intensity / Channel 1 / MeanColonyIntensity,green red Colony two color intensity / Channel 1 / 75thPercentileIntensity,green red Colony two color intensity / Channel 1 / 40thPercentileIntensity,green red Colony two color intensity / Channel 1 / 25thPercentileIntensity,red Annulus intensity measurements / TotalIntensity,red Annulus intensity measurements / MinIntensity,red Annulus intensity measurements / MedianIntensity,red Annulus intensity measurements / MeanIntensity,red Annulus intensity measurements / MaxIntensity,red Annulus intensity measurements / 75thPercentileIntensity,red Annulus intensity measurements / 25thPercentileIntensity,green Annulus intensity measurements / TotalIntensity,green Annulus intensity measurements / MinIntensity,green Annulus intensity measurements / MedianIntensity,green Annulus intensity measurements / MeanIntensity,green Annulus intensity measurements / MaxIntensity,green Annulus intensity measurements / 75thPercentileIntensity,green Annulus intensity measurements / 25thPercentileIntensity
"660cb4686cebf97155c8e9f7",0,1,1,26,"green blob, start, line","polygon","",-,-,-,16466181,37,71,105.85916244503305,1502,120,54,94477307,366,507,607.3836179185846,5902,645,461,71,149.27616464205684,120,60,54,507,734.6831112159452,645,487,461,1547146,37,56,76.86154304734463,696,87,52,11383628,364,502,565.5337075860698,3771,580,456
"660cb4736cebf97155c8e9fa",0,1,1,26,"green blob, start, line","polygon","",-,-,-,71045097,26,71,88.53765945355845,1442,105,50,448098408,246,494,558.4281804722667,5982,652,392,71,122.71152261859285,105,61,50,494,714.250284199432,652,453,392,2448144,26,46,54.9798778296802,810,60,35,17944359,244,378,402.9904554437657,2658,457,290
"660cb4786cebf97155c8e9fd",0,1,1,26,"green blob, start, line","polygon","",-,-,-,12780882,26,52,61.82014385009408,699,71,40,84257869,257,375,407.5488359944472,3585,450,322,52,80.43956893295976,71,47,40,375,482.1422749589397,450,353,322,1073743,25,43,53.44131992832968,559,61,32,7897192,256,347,393.05156281106906,2911,431,283
"660cb48b6cebf97155c8ea00",0,1,1,27,"green blob, start, line","polygon","",-,-,-,77068746,26,82,104.37432081778144,1311,123,58,444660602,235,517,602.2045347432515,6232,697,404,82,143.95626195324348,123,71,58,517,775.735050559282,697,468,404,2802263,26,49,59.93248069807729,1125,64,39,18384829,234,359,393.1994995401758,2782,435,299
"660cb4986cebf97155c8ea03",0,1,1,27,"green blob, start, line","polygon","",-,-,-,9360926,45,86,127.4983110868973,3868,144,61,47146482,386,530,642.1476709343503,14394,680,465,86,181.3937462804999,144,74,61,530,790.4098145209284,680,499,465,2098100,44,65,85.48669681782994,516,97,55,13047780,373,484,531.6293851607383,1893,561,452
"660cb4a96cebf97155c8ea06",0,1,1,27,"green blob, start, line","polygon","",-,-,-,17073746,27,58,68.41347614067566,994,78,44,105660558,245,381,423.3755183978651,4361,464,323,58,89.10863870556906,78,52,44,381,509.6372221257381,464,357,323,1331476,27,45,62.122707973685436,394,73,34,8954597,244,337,417.79484906452666,2176,478,282
"660cb4d56cebf97155c8ea09",0,1,1,28,"green blob, start, end, cell, line","polygon","",15,-,14,18627892,44,95,122.046871826455,3265,138,68,95680100,380,557,626.8802128035957,15305,675,487,95,164.98157708628005,138,84,68,557,746.0368340405469,675,522,487,1779216,46,72,99.58670099630584,732,102.75,61,10408922,382,511,582.6106571140714,2391,599,471
"660cb4e96cebf97155c8ea0c",0,1,1,28,"green blob, start, end, cell, line","polygon","",17,-,16,131710785,31,96,127.83557730944159,2534,152,67,676723855,239,543,656.8132190769028,8876,763,419,96,180.66879344330326,152,83,67,543,865.5240241690545,763,488,419,3568101,31,57,67.24019598605484,581,76,46,21983725,239,387,414.2791859040799,2398,466,317
"660cb4ef6cebf97155c8ea0f",0,1,1,28,"green blob, start, end, cell, line","polygon","",9,-,8,22523111,31,68,80.39919540517097,988,95,50,125479889,252,406,447.9169025597824,3850,504,339,68,106.42208163721615,95,60,50,406,544.5147734820437,504,377,339,1826557,30,63,80.54667725007717,617,101,42,10673807,249,395,470.6886713410063,2035,568,312
"660cb5026cebf97155c8ea12",0,1,1,17,"green blob, start, line","polygon","",-,-,-,1442201,38,55,59.262039776462856,173,66,49,13713900,453,552,563.5231755424063,856,600,522,55,67.90445016550203,66,52,49,552,601.9395365943361,600,540,522,348764,37,48,48.81231630510847,101,51,43,3686453,449,517,515.9486354093772,699,546,477
